Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-28 10:09:57,Business Development (Sales),Orion Edutech Private Limited,Kolkata,Immediately,"₹ 2,000 /month",6 Months,3 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), MS-Excel","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:09:59,Social Media Marketing,YATRIK DISTRIBUTORS PVT LTD,Kolkata,Immediately,"₹ 4,000 - 12,000 /month",6 Months,3 Oct' 25,Nothing,Not Specified,"AI Image Generation, Algorithms, Artificial intelligence, Design Thinking, Generative AI Tools, Social Media Marketing, Video Making","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:10:03,Marketing,Divine Decor,Kolkata,Immediately,"₹ 15,000 - 20,000 /month",3 Months,3 Oct' 25,Nothing,1. College students can apply,"Client Relationship Management (CRM), Digital Marketing, English Proficiency (Spoken), MS-Excel, Social Media Marketing","Certificate, Flexible"
2025-09-28 10:10:06,Export Coordinator,EuroAsia Minmet Corporation,Kolkata,Immediately,"₹ 10,000 /month",4 Months,6 Oct' 25,Nothing,Not Specified,Windows,"Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:10:08,Telecalling,FYTRIPS INDIA PRIVATE LIMITED,Kolkata,Immediately,"₹ 7,000 /month",6 Months,2 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Sales",Letter Of Recommendation
2025-09-28 10:10:11,Law/Legal,Sohini Bhattacharya,Kolkata,Immediately,Unpaid,6 Months,2 Oct' 25,Nothing,Not Specified,MS-Word,"Certificate, Letter Of Recommendation"
2025-09-28 10:10:15,Telecalling,Storybizz Media Private Limited,Kolkata,Immediately,"₹ 8,000 - 12,000 /month",6 Months,2 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written)","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:10:17,Product Marketing,Xempla,Kolkata,Immediately,"₹ 10,000 - 15,000 /month",3 Months,2 Oct' 25,Nothing,"1. A recent graduate or current student in Marketing, Communications, Business, or a related field.","Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing","Certificate, 5 Days A Week"
2025-09-28 10:10:20,Business Development (Sales),Aero Armour,Kolkata,Immediately,"₹ 7,000 - 10,000 /month",6 Months,2 Oct' 25,Nothing,Not Specified,"B2B Sales, Email Marketing",Not Available
2025-09-28 10:10:23,Search Engine Optimization (SEO),Esta Global,Kolkata,Immediately,"₹ 6,000 - 80,000 /month",6 Months,1 Oct' 25,Nothing,Not Specified,"Digital Marketing, English Proficiency (Written), Search Engine Optimization (SEO)","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:10:25,Telecalling,SmartPitch Global Private Limited,Kolkata,Immediately,"₹ 6,000 - 8,000 /month",3 Months,1 Oct' 25,Nothing,Not Specified,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills","Certificate, 5 Days A Week"
2025-09-28 10:10:27,Administration,DGB Marketing LLP (Bhura Group),Kolkata,Immediately,"₹ 9,000 - 13,100 /month",6 Months,1 Oct' 25,Nothing,Not Specified,"Hindi Proficiency (Spoken), MS-Excel, Tally",Not Available
2025-09-28 10:10:30,Compliance,CRAVING ALPHA LLP,Kolkata,Immediately,"₹ 10,000 /month",3 Months,1 Oct' 25,Nothing,Not Specified,"Corporate Finance, Regulatory Affairs, Statutory compliances, Stock Trading",Not Available
2025-09-28 10:10:39,E-Commerce Business Management,Wonder Images Private Limited,Kolkata,Immediately,"₹ 11,000 - 11,001 /month",6 Months,1 Oct' 25,Nothing,Not Specified,E-commerce,"Certificate, Letter Of Recommendation"
2025-09-28 10:10:44,Operations,MEJOR INFO SERVICES,Kolkata,Immediately,"₹ 5,000 - 8,000 /month",6 Months,1 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:10:47,Field Sales,Webtwist,Pune,Immediately,"₹ 2,100 - 2,300 /month",2 Months,22 Oct' 25,Nothing,"4. are from Pune, Ajmer, Jodhpur, Kolkata, Kota, Ludhiana, Mumbai, Jaipur, Bangalore, Ahemdabad Kasora only","Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken)",Flexible
2025-09-28 10:10:50,Law/Legal,M.A.Trading And Financing Private Limited,Kolkata,Immediately,"₹ 7,000 - 9,000 /month",6 Months,1 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Office",Letter Of Recommendation
2025-09-28 10:10:57,Business Development (Sales),Musak Digital,Kolkata,Immediately,"₹ 6,000 - 8,000 /month",2 Months,Not Available,Nothing,"2. Final-year students are preferred, as the role may lead to a full-time opportunity post-internship.","Bengali Proficiency (Spoken), Hindi Proficiency (Spoken), Operations, Sales","Certificate, Flexible"
2025-09-28 10:11:00,Business Development (Sales),Digi Groww,Kolkata,Immediately,"₹ 12,000 - 35,000 /month",3 Months,Not Available,Nothing,Not Specified,"Digital Marketing, Effective Communication, English Proficiency (Spoken)","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:11:05,Search Engine Optimization (SEO),Kyptronix LLP,Kolkata,Immediately,"₹ 6,000 - 8,500 /month",3 Months,Not Available,Nothing,Not Specified,"Digital Marketing, Google Analytics, Search Engine Optimization (SEO)","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:11:07,Content and Social Media Marketing,Aspire Digital Media,Kolkata,Immediately,"₹ 5,000 /month",3 Months,Not Available,Nothing,Not Specified,"Content Marketing, Social Media Marketing, Video Editing, Video Making","Certificate, Letter Of Recommendation"
2025-09-28 10:11:10,Digital Marketing,Agilityhive Research,Kolkata,Immediately,"₹ 5,000 - 5,001 /month",3 Months,Not Available,Nothing,Not Specified,"Digital Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",Not Available
2025-09-28 10:11:13,Social Media Marketing,Shree Laxmi,Kolkata,Immediately,"₹ 2,000 - 5,000 /month",3 Months,Not Available,Nothing,Not Specified,"Adobe Photoshop, Canva, Video Editing","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 10:11:17,Marketing,Manifest Hospitality,Kolkata,Immediately,"₹ 7,000 - 10,000 /month",2 Months,6 Oct' 25,Nothing,Not Specified,"Content Management, Copywriting, English Proficiency (Written), Marketing Campaigns, Social Media Marketing",Not Available
2025-09-28 10:11:21,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Nothing,Not Specified,Not Available,Not Available
2025-09-28 10:11:21,Flutter Development,Digistashing Technologies Pvt. Ltd.,Kolkata,Immediately,"₹ 15,000 - 25,000 /month",3 Months,17 Oct' 25,Nothing,"1. Candidates pursuing Software related degrees (Computer Science, Computer Engineering, etc) are preferred","Android, Dart, Firebase, Flutter, iOS, REST API","Certificate, Letter Of Recommendation"
